"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"1248","GOLFY GOLF","May 16, 2018","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Yah Man Games","Yah Man Games"
"1249","Zero-G","Jan 13, 2017","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Søren Trautner Madsen","Trautner Games"
"1250","Bomb Hunter MT","Apr 3, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BlockGames","BlockGames"
"1251","VR Golf Online","Feb 8, 2017","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","KakaoVX","Kakao Games Corp."
"1252","Match Point","Oct 9, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jolly Crouton Media Ltd.","Jolly Crouton Media Ltd."
"1253","Holopoint: Chronicle","Jan 31, 2019","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alzan Studios, LLC","Alzan Studios, LLC"
"1254","Fit It","Oct 16, 2018","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Edvardas Šneideris, Gabrielė Ušeckaitė, Lukas Litinskas","Lukas Litinskas"
"1255","Premier Buggy Racing Tour","Oct 10, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","JDRumble","JDRumble"
"1256","Cute Girls 可爱的女孩","Oct 21, 2018","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dance studio mix","Dance studio mix"
"1257","Super Realistic Autocross","Aug 6, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Doonamai, LLC","Doonamai, LLC"
"1258","Monster MIX","Sep 6, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","URUS GAMES","URUS GAMES"
"1259","Pix Tower","Feb 11, 2019","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","meokigame","meokigame"
"1260","Draft Day Sports: Pro Basketball 2018","Nov 29, 2017","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wolverine Studios","Wolverine Studios"
"1261","单词训练营 | Word Training Camp","Nov 7, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CCYY","CCYY"
"1262","Galactic Bowling","Oct 21, 2008","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Perpetual FX Creative","Perpetual FX Creative"
"1263","VTB Basketball League VR","Apr 12, 2019","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Axyos Games","LikeVR"
"1264","FROG X BIRD","Nov 20, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ATTACK MOUNTAIN","ATTACK MOUNTAIN"
"1265","Vaporwave Drift","Nov 3, 2019","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Meng Games","Meng Games"
"1266","Quarterback SNAP","Aug 26, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","River Studios","River Studios"
"1267","Sci-fi Chess","Apr 11, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Green-eyed Taxi","Narko Games"
"1268","Ski Hard: Lorsbruck 1978","Feb 9, 2018","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Odd Chamber","Odd Chamber"
"1269","Nothin' But Net","May 28, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","What Up Games, LLC","What Up Games, LLC"
"1270","Australian Football Coach","Sep 1, 2017","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Statto Software","Statto Software"
"1271","Fight Sparring VR","Jul 24, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chun Y.","Chun Y."
"1272","Turbo Soccer VR","Jun 14, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dodo4Story Games","Dodo4Story Games"
"1273","MIMIC","Dec 28, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Scribe","Alpha Graphic Designs"
"1274","Biathlon Battle VR","Jan 27, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Academtech LLC","Animar Games"
"1275","Transporter Truck Simulator","Sep 17, 2019","$0.51","N/A (N/A)","0 .. 20,000","00:00 (00:00)","A Nostru","A Nostru"
"1276","Hentai LightUp","Aug 5, 2019","$0.59","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LeonWaan Games","LeonWaan Games"
"1277","Paddle Master VR","Nov 18, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Raging Pygmy Goat Games","Raging Pygmy Goat Games"
"1287","DRONE The Game","Dec 17, 2018","$23.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Five Studios Interactive","Five Studios Interactive"
"1288","Paddle Up","Aug 24, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pavel Jamal","Pavel Jamal"
"1290","First Person Tennis - The Real Tennis Simulator","Apr 11, 2019","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mikori Games","Mikori Games"
"1291","Wild Animal Sports Day","Aug 31, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Paul Bird","Marjupi Games"
"1293","Volo Airsport","Dec 4, 2014","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ramjet Anvil","Ramjet Anvil"
