genre,game
action,Wolfenstein II: The New Colossus
action,Dishonored 2
action,Assassin's Creed 2 Deluxe Edition
action,Rogue Legacy
action,Far Cry 2: Fortune's Edition
action,DmC: Devil May Cry
action,The Talos Principle
action,Crysis Warhead
action,Mortal Kombat X
action,NieR:Automata
action,Nioh: Complete Edition / 仁王 Complete Edition
action,Deus Ex: Mankind Divided
action,Tomb Raider: Anniversary
action,Skullgirls
action,Orcs Must Die!
action,Transistor
action,HELLDIVERS Dive Harder Edition
action,TEKKEN 7
action,S.T.A.L.K.E.R.: Shadow of Chernobyl
action,Red Faction Guerrilla Steam Edition
action,Lara Croft and the Guardian of Light
action,SUPERHOT
action,Hitman: Blood Money
action,Duck Game
action,Tomb Raider: Legend
action,STAR WARS Jedi: Fallen Order
action,Far Cry 3 - Blood Dragon
action,Wolfenstein: The New Order
action,Hunt: Showdown
action,Slime Rancher
action,Overcooked
action,Alien: Isolation
action,Sleeping Dogs
action,Mortal Kombat Komplete Edition
action,VVVVVV
action,Dragon's Dogma: Dark Arisen
action,Elite Dangerous
action,Far Cry 4
action,S.T.A.L.K.E.R.: Call of Pripyat
action,Natural Selection 2
action,BioShock Remastered
action,Trine Enchanted Edition
action,METAL GEAR SOLID V: GROUND ZEROES
action,Move or Die
action,Tomb Raider: Underworld
action,Deus Ex: Invisible War
action,Warhammer: End Times - Vermintide
action,resident evil 4 / biohazard 4
action,Injustice: Gods Among Us Ultimate Edition
action,Outland
action,F.E.A.R. 2: Project Origin
action,RAGE
action,Sniper Elite 4
action,Insurgency: Sandstorm
action,STAR WARS Republic Commando
action,LEGO Marvel Super Heroes
action,Day of Infamy
action,Risk of Rain
action,The Darkness II
action,Sonic Generations Collection
action,Vindictus
action,The Ship: Murder Party
action,Kingdom Come: Deliverance
action,Red Faction: Armageddon
action,Just Cause
action,Serious Sam 2
action,The Red Solstice
action,F.E.A.R. 3
action,Call of Duty: Black Ops III
action,Alan Wake's American Nightmare
action,Hitman: Codename 47
action,The Incredible Adventures of Van Helsing
action,Dark Messiah of Might & Magic
action,Bully: Scholarship Edition
action,Medal of Honor
action,Amnesia: A Machine for Pigs
action,STAR WARS Starfighter
action,The Escapists
action,Surgeon Simulator
action,Sanctum
action,BRINK
action,Verdun
action,America's Army 3
action,Thief
action,Resident Evil 6 / Biohazard 6
action,Mount & Blade: With Fire & Sword
action,Serious Sam HD: The First Encounter
action,Call of Duty: Ghosts
action,The Evil Within
action,Aliens vs. Predator
action,Conan Exiles
action,Quantum Break
action,Sniper Elite V2
action,Lord of the Rings: War in the North
action,STAR WARS - The Force Unleashed Ultimate Sith Edition
action,Depth
action,Hell Yeah! Wrath of the Dead Rabbit
action,Murderous Pursuits
action,Mafia III
action,Contagion
action,Friday the 13th: The Game
action,Ryse: Son of Rome
action,No Man's Sky
action,How to Survive
action,STAR WARS: The Force Unleashed II
action,Duke Nukem Forever
action,Dino D-Day
action,Sniper: Ghost Warrior 2
action,Cortex Command
action,Dragons and Titans
action,Sniper Elite 3
action,Infestation: Survivor Stories Classic
action,Ultimate Custom Night
action,Darksiders II Deathinitive Edition
action,Darksiders Warmastered Edition
action,Sleeping Dogs: Definitive Edition
action,Getting Over It with Bennett Foddy
action,Who's Your Daddy
action,MechWarrior Online Solaris 7
action,Strife
action,Back to Bed
action,AX:EL - Air XenoDawn
action,SoulWorker - Anime Action MMO
action,BrainBread 2
action,HITMAN
action,Watch_Dogs 2
action,Hero Siege
action,ATLAS
action,Creative Destruction
action,Magicka 2
action,CS2D
action,Teeworlds
action,BROKE PROTOCOL: Online City RPG
action,Dungeons & Dragons Online
action,Resident Evil Revelations 2 / Biohazard Revelations 2
action,Dead Bits
action,Portal 2 Sixense Perceptual Pack
action,Quake Champions
action,BRAIN / OUT
action,Dead Frontier 2
action,Radical Heights
action,BLOCKPOST
action,Splitgate: Arena Warfare
action,Panzar
action,Guns and Robots
action,Totally Accurate Battlegrounds
action,SCUM
action,Ace of Spades: Battle Builder
action,Yet Another Zombie Defense
action,We Were Here
action,"Pirates, Vikings, and Knights II"
action,BioShock 2 Remastered
action,Modern Combat Versus
action,Brick-Force
action,Evolvation
action,Scrap Mechanic
action,Super Crate Box
action,STAR WARS - Dark Forces
action,Woodle Tree Adventures
action,Cubic Castles
action,Spooky's Jump Scare Mansion
action,Defy Gravity Extended
action,Digimon Masters Online
action,Viking: Battle for Asgard
action,ARMA: Cold War Assault
action,The Drone Racing League Simulator
action,Hotline Miami 2: Wrong Number
action,ShellShock Live
action,Lost Castle / 失落城堡
action,The Pillage
action,Dust: An Elysian Tail
action,Gang Beasts
action,Bloons TD Battles
action,Metin2
action,Assassin's Creed Odyssey
action,Tom Clancy's Ghost Recon Wildlands
action,Assassin’s Creed IV Black Flag
action,Deep Rock Galactic
action,Relic Hunters Zero
action,Geneshift: Battle Royale Turbo
action,STAR WARS Jedi Knight - Mysteries of the Sith
action,Geometry Dash
action,Elsword
action,Assassin's Creed Origins
action,Ultimate Chicken Horse
action,MapleStory 2
action,Killer is Dead - Nightmare Edition
action,Jet Set Radio
action,DEATH TRAIN - Warning: Unsafe VR Experience
action,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4
action,Just Cause 2: Multiplayer Mod
action,QUAKE
action,Unreal Tournament 2004: Editor's Choice Edition
action,System Shock 2
action,Thief Gold
action,Bayonetta
action,Max Payne
action,Far Cry
action,Guacamelee! Gold Edition
action,Return to Castle Wolfenstein
action,Nuclear Throne
action,The Swapper
action,Thief II: The Metal Age
action,DOOM 3
action,Max Payne 2: The Fall of Max Payne
action,DRAGON BALL FighterZ
action,Shovel Knight: Treasure Trove
action,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien
action,Thief: Deadly Shadows
action,Fallout: New Vegas
action,Hyper Light Drifter
action,ICEY
action,SOMA
action,METAL GEAR RISING: REVENGEANCE
action,DOOM II
action,Gunpoint
action,Fable - The Lost Chapters
action,ABZU
action,Hellblade: Senua's Sacrifice
action,Cave Story+
action,SUPERHOT VR
action,RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil
action,Unreal Tournament 3 Black
action,Door Kickers
action,Resident Evil / biohazard HD REMASTER
action,Mortal Kombat 11
action,Momodora: Reverie Under The Moonlight
action,"Invisible, Inc."
action,Lethal League
action,SteamWorld Heist
action,Gothic 1
action,Red Orchestra: Ostfront 41-45
action,Kingdoms of Amalur: Reckoning
action,My Friend Pedro
action,King Arthur's Gold
action,Lone Survivor: The Director's Cut
action,Wreckfest
action,Jamestown
action,Nidhogg
action,Rising Storm 2: Vietnam
action,LEGO The Lord of the Rings
action,Vampire: The Masquerade - Bloodlines
action,Anomaly: Warzone Earth
action,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD
action,Tales of Berseria
action,Overcooked! 2
action,Assassin's Creed Revelations
action,Shadowgrounds Survivor
action,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair
action,EVERSPACE
action,Prototype
action,Race The Sun
action,State of Decay
action,Wizard of Legend
action,Assassin's Creed: Director's Cut Edition
action,Bloodline Champions
action,Deadlight
action,Hand of Fate
action,Dungeon Fighter Online
action,Tom Clancy's Rainbow Six Vegas 2
action,Red Faction
action,Dead Rising 2
action,Condemned: Criminal Origins
action,Teleglitch: Die More Edition
action,Shadow Warrior 2
action,BATTLETECH
action,Call of Duty: Advanced Warfare - Gold Edition
action,STRIDER / ストライダー飛竜
action,Shadow of the Tomb Raider: Definitive Edition
action,Resident Evil Revelations / Biohazard Revelations
action,Watch_Dogs
action,Life is Strange: Before the Storm
action,Giana Sisters: Twisted Dreams
action,"Warhammer 40,000: Dawn of War III"
action,Arma 2
action,Furi
action,Prototype 2
action,Secret World Legends
action,SteamWorld Dig
action,Sniper Elite
action,Renegade Ops
action,McPixel
action,Operation Flashpoint: Dragon Rising
action,Wolfenstein: The Old Blood
action,Victor Vran ARPG
action,Satellite Reign
action,Outlast 2
action,S.T.A.L.K.E.R.: Clear Sky
action,Kenshi
action,And Yet It Moves
action,Rock of Ages
action,12 is Better Than 6
action,Far Cry Primal
action,Assassin’s Creed Rogue
action,Shadowgrounds
action,Assassin's Creed Syndicate
action,Space Pirates and Zombies
action,Penumbra Overture
action,Lords Of The Fallen
action,Book of Demons
action,Call of Duty: Infinite Warfare
action,WWII Online
action,X3: Terran Conflict
action,Hard Reset Extended Edition
action,Zombie Army Trilogy
action,Commandos 3: Destination Berlin
action,Dungeon Siege III
action,Hammerwatch
action,Steep
action,Shank 2
action,Portal Knights
action,Alpha Protocol
action,Styx: Master of Shadows
action,Aragami
action,Beat Hazard
action,Lead and Gold: Gangs of the Wild West
action,Starpoint Gemini 2
action,SPORE Galactic Adventures
action,Battleborn
action,DEAD OR ALIVE 5 Last Round: Core Fighters
action,How to Survive 2
action,Octodad: Dadliest Catch
action,UnEpic
action,Binary Domain
action,Hide and Shriek
action,Men of War: Assault Squad 2
action,Just Cause 4 Reloaded
action,Kane and Lynch: Dead Men
action,ELEX
action,Kane & Lynch 2: Dog Days
action,Saints Row: Gat out of Hell
