game,release_date,price,metascore,owners,avg_playtime,median_playtime,developers,publishers,trending
Konung 2,2004-11-30,2.99,35,"20,000 .. 50,000",0,0,1C Entertainment,1C Entertainment,NA
planetarian ~the reverie of a little planet~,2004-11-29,9.99,NA,"50,000 .. 100,000",0,0,VisualArts/Key,Sekai Project,NA
Half-Life 2,2004-11-16,9.99,96,"10,000,000 .. 20,000,000",112,143,Valve,Valve,NA
Kult: Heretic Kingdoms,2004-11-11,4.99,NA,"20,000 .. 50,000",0,0,Games Farm,Games Farm,NA
Nexus - The Jupiter Incident,2004-11-05,9.99,77,"50,000 .. 100,000",0,0,"Mithis Games, THQ Nordic",HandyGames,NA
Counter-Strike: Source,2004-11-01,9.99,88,"10,000,000 .. 20,000,000",150,211,Valve,Valve,Yes
Half-Life 2: Deathmatch,2004-11-01,4.99,NA,"5,000,000 .. 10,000,000",14,4,Valve,Valve,NA
Nancy Drew: Curse of Blackmoor Manor,2004-10-25,6.99,81,"20,000 .. 50,000",0,0,HeR Interactive,HeR Interactive,NA
I Misteri di Maggia,2004-09-27,0,NA,"0 .. 20,000",0,0,Stelex Software,Stelex Software,NA
Rome: Total War - Collection,2004-09-22,4.41,92,"1,000,000 .. 2,000,000",0,0,CREATIVE ASSEMBLY,SEGA,NA
Full Spectrum Warrior,2004-09-21,9.99,80,"100,000 .. 200,000",0,0,Pandemic Studios,THQ Nordic,NA
Shadow Ops: Red Mercury,2004-09-17,6.99,61,"50,000 .. 100,000",0,0,Zombie Studios,Retroism,NA
Chris Sawyer's Locomotion,2004-09-10,5.99,NA,"20,000 .. 50,000",0,0,Chris Sawyer,Atari,NA
Dark Fall 2: Lights Out,2004-08-24,4.99,66,"20,000 .. 50,000",0,0,Darkling Room,THQ Nordic,NA
Zoo Empire,2004-08-01,6.99,59,"0 .. 20,000",0,0,Enlight Software Limited,"Retroism, Enlight Software Limited",NA
Marine Park Empire,2004-08-01,6.99,58,"0 .. 20,000",0,0,Enlight Software Limited,"Retroism, Enlight Software Limited",NA
Mashed,2004-06-25,4.99,NA,"50,000 .. 100,000",0,0,Supersonic Software,Strategy First,NA
Marine Sharpshooter II: Jungle Warfare,2004-06-22,2.99,52,"100,000 .. 200,000",0,0,Jarhead Games,Funbox Media Ltd,NA
Thief: Deadly Shadows,2004-06-11,0.98,85,"500,000 .. 1,000,000",0,0,Ion Storm,Square Enix,NA
Platypus,2004-06-02,6.99,NA,"100,000 .. 200,000",0,0,Idigicon,KISS ltd,NA
Half-Life: Source,2004-06-01,9.99,NA,"2,000,000 .. 5,000,000",16,5,Valve,Valve,NA
Perimeter,2004-05-21,3.99,77,"20,000 .. 50,000",0,0,K-D Lab,1C Entertainment,NA
Port Royale 2,2004-04-30,4.99,75,"50,000 .. 100,000",0,0,Ascaron Entertainment ltd.,Strategy First,NA
Beyond Divinity,2004-04-27,5.99,73,"500,000 .. 1,000,000",0,0,Larian Studios,Larian Studios,NA
Unreal Tournament 2004: Editor's Choice Edition,2004-03-17,14.99,93,"500,000 .. 1,000,000",0,0,"Epic Games, Inc.","Epic Games, Inc.",NA
The I of the Dragon,2004-03-10,6.99,NA,"500,000 .. 1,000,000",121,40,Primal,TopWare Interactive,NA
Deus Ex: Invisible War,2004-03-05,6.99,80,"1,000,000 .. 2,000,000",0,0,Ion Storm,Square Enix,NA
Counter-Strike: Condition Zero,2004-03-01,9.99,65,"10,000,000 .. 20,000,000",2796,2796,Valve,Valve,NA
Wars and Warriors: Joan of Arc,2004-02-07,6.99,60,"0 .. 20,000",0,0,Enlight Software Limited,"Retroism, Enlight Software Limited",NA
Hard Truck Apocalypse / Ex Machina,2005-12-08,7.99,NA,"50,000 .. 100,000",0,0,Targem Games,Buka Entertainment,NA
Operation: Matriarchy,2005-11-20,5.99,NA,"0 .. 20,000",0,0,Madia Entertainment,Buka Entertainment,NA
"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,9.99,78,"2,000,000 .. 5,000,000",108,36,Pandemic Studios,"Lucasfilm, LucasArts, Disney",NA
Half-Life 2: Lost Coast,2005-10-27,0,NA,"10,000,000 .. 20,000,000",9,6,Valve,Valve,NA
Sid Meier's Civilization IV,2005-10-25,19.99,94,"1,000,000 .. 2,000,000",0,0,Firaxis Games,2K,NA
UFO: Aftershock,2005-10-21,3.99,NA,"100,000 .. 200,000",0,0,ALTAR Interactive,1C Entertainment,NA
Disney's Chicken Little,2005-10-20,9.99,NA,"20,000 .. 50,000",0,0,Avalanche Software,Disney,NA
Nancy Drew: Last Train to Blue Moon Canyon,2005-10-18,6.99,77,"20,000 .. 50,000",0,0,HeR Interactive,HeR Interactive,NA
Shattered Union,2005-10-17,4.99,67,"20,000 .. 50,000",0,0,PopTop,2K,NA
Rag Doll Kung Fu,2005-10-12,9.99,69,"20,000 .. 50,000",0,0,Mark Healey,Mark Healey,NA
Crazy Machines,2005-10-01,9.99,78,"50,000 .. 100,000",0,0,Fakt Software,Viva Media,NA
Crazy Machines 1.5,2005-10-01,9.99,78,"0 .. 20,000",0,0,Fakt Software,Viva Media,NA
Cold War,2005-09-27,4.99,64,"20,000 .. 50,000",0,0,Mindware Studios,THQ Nordic,NA
Bone: Out From Boneville,2005-09-15,NA,68,"50,000 .. 100,000",0,0,Telltale Games,Telltale Games,NA
rFactor,2005-08-31,24.99,NA,"50,000 .. 100,000",0,0,Image Space Incorporated,Image Space Incorporated,NA
Dungeon Siege II,2005-08-16,6.99,80,"500,000 .. 1,000,000",0,0,Gas Powered Games,Square Enix,NA
Advent Rising,2005-08-09,9.99,70,"50,000 .. 100,000",0,0,GlyphX Games,Majesco Entertainment,NA
BloodRayne 2,2005-08-02,9.99,67,"50,000 .. 100,000",0,0,Terminal Reality,Majesco Entertainment,NA
Nancy Drew: Secret of the Old Clock,2005-07-26,6.99,80,"20,000 .. 50,000",0,0,HeR Interactive,HeR Interactive,NA
Myst V: End of Ages,2005-07-19,9.99,80,"50,000 .. 100,000",0,0,Cyan Worlds,Cyan Worlds,NA
Darwinia,2005-07-14,9.99,84,"500,000 .. 1,000,000",0,0,Introversion Software,Introversion Software,NA
FlatOut,2005-07-12,7.49,72,"200,000 .. 500,000",0,0,Bugbear Entertainment,Strategy First,NA
Sid Meier's Pirates!,2005-07-11,9.99,88,"500,000 .. 1,000,000",40,13,Firaxis Games,2K,NA
Midnight Outlaw: 6 Hours to SunUp,2005-07-02,9.99,NA,"20,000 .. 50,000",0,0,"Merscom, Babylon","ValuSoft, Retroism",NA
World War I,2005-06-17,4.99,NA,"50,000 .. 100,000",0,0,Dark Fox,1C Entertainment,NA
Rising Kingdoms,2005-05-27,2.49,NA,"0 .. 20,000",0,0,Haemimont Games,Haemimont Games,NA
Imperial Glory,2005-05-15,4.99,69,"200,000 .. 500,000",0,0,Pyro Studios,Kalypso Media Digital,NA
Psychonauts,2005-04-19,9.99,87,"2,000,000 .. 5,000,000",0,0,Double Fine Productions,Double Fine Productions,NA
Geneforge 3,2005-04-01,19.99,NA,"50,000 .. 100,000",0,0,Spiderweb Software,Spiderweb Software,NA
CT Special Forces: Fire for Effect,2005-03-24,2.99,NA,"100,000 .. 200,000",0,0,"Asobo Studio, Hip Games",Funbox Media Ltd,NA
Massive Assault: Phantom Renaissance,2005-03-03,9.99,NA,"0 .. 20,000",0,0,Wargaming.net,Wargaming.net,NA
STAR WARS Republic Commando,2005-03-01,9.99,78,"1,000,000 .. 2,000,000",1,0,LucasArts,"LucasArts, Lucasfilm, Disney",NA
Project: Snowblind,2005-02-22,0.89,76,"100,000 .. 200,000",0,0,Crystal Dynamics,Square Enix,NA
Desert Gunner,2006-12-31,2.99,NA,"0 .. 20,000",0,0,Digital Fusion,Digital Fusion Inc.,NA
Nux,2006-12-26,6.99,NA,"100,000 .. 200,000",0,0,Idigicon,KISS ltd,NA
Vegas: Make It Big,2006-12-21,4.99,NA,"20,000 .. 50,000",0,0,Deepred,Strategy First,NA
Sam & Max 102: Situation: Comedy,2006-12-20,19.99,NA,"0 .. 20,000",0,0,Telltale Games,Telltale Games,NA
3D Ultra Minigolf Adventures,2006-12-20,9.99,NA,"0 .. 20,000",0,0,Wanako Games,Activision,NA
Gumboy - Crazy Adventures,2006-12-19,4.99,69,"50,000 .. 100,000",0,0,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",NA
Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113,2006-12-18,5.99,NA,"20,000 .. 50,000",0,0,Targem Games,Buka Entertainment,NA
IL-2 Sturmovik: 1946,2006-12-15,9.99,86,"200,000 .. 500,000",84,28,1C: Maddox Games,1C Entertainment,NA
Paws and Claws: Pet School,2006-12-15,6.99,NA,"0 .. 20,000",0,0,dtp – young entertainment Gmbh & Co. KG,"ValuSoft, Retroism",NA
Mystery Case Files: Ravenhearst,2006-12-15,9.99,NA,"0 .. 20,000",0,0,Big Fish Games,Big Fish Games,NA
Zen of Sudoku,2006-12-14,0,NA,"0 .. 20,000",0,0,Unknown Worlds Entertainment,Unknown Worlds Entertainment,NA
Disney's Chicken Little: Ace in Action,2006-12-07,19.99,NA,"0 .. 20,000",0,0,Avalanche Software,Disney,NA
Xpand Rally Xtreme,2006-12-01,4.99,NA,"20,000 .. 50,000",0,0,Techland,Techland,NA
Garry's Mod,2006-11-29,9.99,NA,"10,000,000 .. 20,000,000",523,131,Facepunch Studios,Valve,Yes
RACE - The WTCC Game,2006-11-24,39.99,NA,"200,000 .. 500,000",0,0,SimBin,SimBin,NA
Heroes of Annihilated Empires,2006-11-22,14.99,65,"50,000 .. 100,000",0,0,GSC Game World,GSC Game World,NA
The Ship: Single Player,2006-11-20,9.99,NA,"100,000 .. 200,000",0,0,Outerlight Ltd.,Blazing Griffin Ltd.,NA
Total War: MEDIEVAL II – Definitive Edition,2006-11-15,6.24,NA,"2,000,000 .. 5,000,000",199,66,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",NA
Heroes of Might & Magic V: Hammers of Fate,2006-11-14,9.99,66,"50,000 .. 100,000",0,0,Nival,Ubisoft,NA
RoboBlitz,2006-11-07,9.99,80,"20,000 .. 50,000",0,0,Naked Sky Entertainment,Naked Sky Entertainment,NA
Geneforge 4: Rebellion,2006-11-01,19.99,NA,"50,000 .. 100,000",0,0,Spiderweb Software,Spiderweb Software,NA
3D ParticleGen Visual FX,2006-10-27,9.99,NA,"50,000 .. 100,000",0,0,Reality Pump,TopWare Interactive,NA
RollerCoaster Tycoon 3: Platinum,2006-10-26,NA,81,"1,000,000 .. 2,000,000",0,0,"Frontier, Aspyr (Mac)","Atari, Aspyr (Mac)",NA
Dark Messiah of Might & Magic,2006-10-25,9.99,72,"1,000,000 .. 2,000,000",0,0,Arkane Studios,Ubisoft,NA
Sam & Max 101: Culture Shock,2006-10-17,19.99,NA,"50,000 .. 100,000",0,0,Telltale Games,Telltale Games,NA
Sid Meier's Railroads!,2006-10-16,9.99,77,"500,000 .. 1,000,000",0,0,"Firaxis Games, Feral Interactive (Mac)","2K, Feral Interactive (Mac)",NA
Space Empires V,2006-10-16,14.99,68,"50,000 .. 100,000",0,0,Malfador Machinations,Strategy First,NA
Gothic 3,2006-10-13,9.99,63,"500,000 .. 1,000,000",0,0,Piranha Bytes,THQ Nordic,NA
The Guild II,2006-10-12,9.99,61,"500,000 .. 1,000,000",0,0,4HEAD Studios,THQ Nordic,NA
"Warhammer 40,000: Dawn of War - Dark Crusade",2006-10-09,12.99,87,"1,000,000 .. 2,000,000",44,14,Relic Entertainment,SEGA,NA
Nancy Drew: The Creature of Kapu Cave,2006-10-01,6.99,68,"0 .. 20,000",0,0,HeR Interactive,HeR Interactive,NA
DEFCON,2006-09-29,9.99,84,"500,000 .. 1,000,000",0,0,Introversion Software,Introversion Software,NA
Pacific Storm,2006-09-29,7.99,67,"50,000 .. 100,000",0,0,"Buka Entertainment, Lesta Studio",Buka Entertainment,NA
War on Folvos,2006-09-25,3.99,NA,"50,000 .. 100,000",0,0,Lonely Troops,Lonely Troops,NA
El Matador,2006-09-25,3.99,54,"20,000 .. 50,000",0,0,Plastic Reality Technologies,1C Entertainment,NA
Just Cause,2006-09-22,0.97,75,"1,000,000 .. 2,000,000",0,0,Avalanche Studios,Square Enix,NA
Joint Task Force,2006-09-12,7.99,68,"50,000 .. 100,000",0,0,Most Wanted Entertainment,HD Publishing,NA
Company of Heroes - Legacy Edition,2006-09-11,19.99,93,"2,000,000 .. 5,000,000",0,0,Relic Entertainment,SEGA,NA
Company of Heroes,2006-09-11,19.99,93,"1,000,000 .. 2,000,000",250,83,Relic Entertainment,SEGA,NA
GTR 2 FIA GT Racing Game,2006-09-10,7.99,NA,"50,000 .. 100,000",0,0,SimBin Studios AB,SimBin,NA
Faces of War,2006-09-08,4.99,67,"20,000 .. 50,000",0,0,Best Way,1C Entertainment,NA
Space Quest Collection,2006-09-01,19.99,NA,"100,000 .. 200,000",0,0,Sierra,Activision,NA
Feeding Frenzy 2 Deluxe,2006-08-30,4.99,NA,"100,000 .. 200,000",0,0,"PopCap Games, Inc.","PopCap Games, Inc.",NA
Zuma Deluxe,2006-08-30,4.99,NA,"100,000 .. 200,000",0,0,"PopCap Games, Inc.","PopCap Games, Inc.",NA
Insaniquarium Deluxe,2006-08-30,4.99,NA,"100,000 .. 200,000",0,0,"PopCap Games, Inc.","PopCap Games, Inc.",NA
Chuzzle Deluxe,2006-08-30,4.99,NA,"50,000 .. 100,000",0,0,"PopCap Games, Inc.","PopCap Games, Inc.",NA
Bejeweled 2 Deluxe,2006-08-30,4.99,NA,"50,000 .. 100,000",0,0,"PopCap Games, Inc.","PopCap Games, Inc.",NA
Dynomite Deluxe,2006-08-30,4.99,NA,"20,000 .. 50,000",0,0,"PopCap Games, Inc.","PopCap Games, Inc.",NA
Rocket Mania Deluxe,2006-08-30,4.99,NA,"20,000 .. 50,000",0,0,"PopCap Games, Inc.","PopCap Games, Inc.",NA
Bejeweled Deluxe,2006-08-30,4.99,NA,"20,000 .. 50,000",0,0,"PopCap Games, Inc.","PopCap Games, Inc.",NA
Typer Shark! Deluxe,2006-08-30,4.99,NA,"20,000 .. 50,000",0,0,"PopCap Games, Inc.","PopCap Games, Inc.",NA
AstroPop Deluxe,2006-08-30,4.99,NA,"20,000 .. 50,000",0,0,"PopCap Games, Inc.","PopCap Games, Inc.",NA
Talismania Deluxe,2006-08-30,4.99,NA,"20,000 .. 50,000",0,0,"PopCap Games, Inc.","PopCap Games, Inc.",NA
Heavy Weapon Deluxe,2006-08-30,4.99,NA,"20,000 .. 50,000",0,0,"PopCap Games, Inc.","PopCap Games, Inc.",NA
Big Money! Deluxe,2006-08-30,4.99,NA,"20,000 .. 50,000",0,0,"PopCap Games, Inc.","PopCap Games, Inc.",NA
Iggle Pop Deluxe,2006-08-30,4.99,NA,"20,000 .. 50,000",0,0,"PopCap Games, Inc.","PopCap Games, Inc.",NA
Pizza Frenzy Deluxe,2006-08-30,4.99,NA,"20,000 .. 50,000",0,0,"PopCap Games, Inc.","PopCap Games, Inc.",NA
Hammer Heads Deluxe,2006-08-30,4.99,NA,"20,000 .. 50,000",0,0,"PopCap Games, Inc.","PopCap Games, Inc.",NA
Tanita: A Plasticine Dream,2006-08-29,4.99,NA,"0 .. 20,000",0,0,Trickster Games,Akella,NA
Xpand Rally,2006-08-24,4.99,82,"20,000 .. 50,000",0,0,Techland,Techland,NA
Uplink,2006-08-23,9.99,75,"500,000 .. 1,000,000",0,0,Introversion Software,Introversion Software,NA
Atlantis Sky Patrol,2006-08-23,9.99,NA,"0 .. 20,000",0,0,Big Fish Games,Big Fish Games,NA
NAVYFIELD,2006-08-18,0,NA,"50,000 .. 100,000",0,0,SDEnterNET,Naiadgames,NA
Sacred Gold,2006-08-14,9.99,74,"200,000 .. 500,000",0,0,Ascaron Entertainment ltd.,Strategy First,NA
Darkstar One,2006-08-14,9.99,71,"100,000 .. 200,000",0,0,Ascaron Entertainment ltd.,Strategy First,NA
Safecracker: The Ultimate Puzzle Adventure,2006-08-02,4.99,69,"50,000 .. 100,000",0,0,Kheops Studio,HandyGames,NA
FlatOut 2,2006-08-01,9.99,76,"500,000 .. 1,000,000",8,7,Bugbear Entertainment,Strategy First,NA
Iron Warriors: T - 72 Tank Command,2006-07-26,4.99,56,"50,000 .. 100,000",0,0,Strategy First,Strategy First,NA
Civilization IV: Warlords,2006-07-24,4.99,84,"1,000,000 .. 2,000,000",0,0,Firaxis Games,2K,NA
CivCity: Rome,2006-07-24,9.99,67,"50,000 .. 100,000",0,0,"FireFly Studios, Firaxis Games",2K,NA
Hidden Expedition: Titanic,2006-07-19,9.99,NA,"0 .. 20,000",0,0,Big Fish Games,Big Fish Games,NA
BorderZone,2006-07-19,2.99,NA,"0 .. 20,000",0,0,"Saturn-plus, Orion",1C Entertainment,NA
Tacview,2006-07-18,0,NA,"0 .. 20,000",0,0,Raia Software Inc.,Raia Software Inc.,NA
The Ship: Murder Party,2006-07-11,9.99,76,"1,000,000 .. 2,000,000",0,0,Outerlight Ltd.,Blazing Griffin Ltd.,NA
Nancy Drew: Danger by Design,2006-07-11,6.99,70,"20,000 .. 50,000",0,0,HeR Interactive,HeR Interactive,NA
Disciples II: Gallean's Return,2006-07-06,6.99,84,"100,000 .. 200,000",0,0,Strategy First,Strategy First,NA
Disciples II: Rise of the Elves,2006-07-06,6.99,80,"100,000 .. 200,000",0,0,Strategy First,Strategy First,NA
Disney•Pixar Cars,2006-07-06,19.99,73,"20,000 .. 50,000",0,0,Beenox,"THQ, Disney",NA
Jagged Alliance 2 Gold,2006-07-06,19.99,NA,"0 .. 20,000",0,0,Strategy First,Strategy First,NA
Rome: Total War - Alexander,2006-06-26,4.41,79,"500,000 .. 1,000,000",0,0,The Creative Assembly,SEGA,NA
Guilty Gear Isuka,2006-06-20,9.99,NA,"50,000 .. 100,000",0,0,Arc System Works,Arc System Works,NA
Cossacks II: Battle for Europe,2006-06-19,4.99,69,"100,000 .. 200,000",0,0,GSC Game World,GSC World Publishing,NA
Domino,2006-06-08,4.99,NA,"0 .. 20,000",0,0,bakno Games,bakno Games,NA
Half-Life 2: Episode One,2006-06-01,7.99,87,"5,000,000 .. 10,000,000",0,0,Valve,Valve,NA
Hitman: Blood Money,2006-05-30,9.99,82,"1,000,000 .. 2,000,000",0,0,Io-Interactive A/S,Io-Interactive A/S,NA
Act of War: High Treason,2006-05-30,2.99,74,"20,000 .. 50,000",0,0,Eugen Systems,THQ Nordic,NA
Wings Over Europe,2006-05-24,9.99,62,"0 .. 20,000",0,0,Third Wire Productions,Strategy First,NA
Heroes of Might & Magic V,2006-05-23,9.99,77,"200,000 .. 500,000",0,0,Nival,Ubisoft,NA
Devil May Cry 3 Special Edition,2006-05-23,19.99,66,"200,000 .. 500,000",0,0,"CAPCOM Co., Ltd.",Capcom,NA
Rogue Trooper,2006-05-23,9.99,69,"50,000 .. 100,000",0,0,Rebellion,Rebellion,NA
SiN Episodes: Emergence,2006-05-10,9.99,75,"200,000 .. 500,000",0,0,Ritual Entertainment,Ritual Entertainment,NA
Shadowgrounds,2006-05-08,6.99,74,"500,000 .. 1,000,000",0,0,Frozenbyte,Frozenbyte,NA
Desperados 2: Cooper's Revenge,2006-05-02,9.99,66,"50,000 .. 100,000",0,0,Spellbound,THQ Nordic,NA
Half-Life Deathmatch: Source,2006-05-01,9.99,NA,"10,000,000 .. 20,000,000",0,0,Valve,Valve,NA
Call of Cthulhu: Dark Corners of the Earth,2006-04-26,4.99,76,"200,000 .. 500,000",0,0,Headfirst Productions,Bethesda Softworks,NA
Dreamfall: The Longest Journey,2006-04-17,19.99,75,"100,000 .. 200,000",0,0,Funcom,Funcom,NA
EMERGENCY 4 Deluxe,2006-04-13,17.99,71,"20,000 .. 50,000",0,0,Sixteen Tons Entertainment,Sixteen Tons Entertainment,NA
Bone: The Great Cow Race,2006-04-12,NA,76,"100,000 .. 200,000",0,0,Telltale Games,Telltale Games,NA
Condemned: Criminal Origins,2006-04-11,14.95,78,"500,000 .. 1,000,000",0,0,Monolith,SEGA,NA
Tomb Raider: Legend,2006-04-07,0.97,82,"1,000,000 .. 2,000,000",0,0,Crystal Dynamics,Square Enix,NA
Mystery Case Files: Prime Suspects,2006-04-05,6.99,NA,"0 .. 20,000",0,0,Big Fish Games,Big Fish Games,NA
Earth 2160,2006-04-01,4.99,73,"200,000 .. 500,000",173,57,Reality Pump Studios,"Topware Interactive, ACE",NA
Keepsake,2006-03-31,0.99,68,"20,000 .. 50,000",0,0,Wicked Studios,Wicked Studios,NA
Full Spectrum Warrior: Ten Hammers,2006-03-27,9.99,70,"100,000 .. 200,000",0,0,Pandemic Studios,THQ Nordic,NA
AGON - The Mysterious Codex (Trilogy),2006-03-16,9.99,NA,"20,000 .. 50,000",0,0,Private Moon Studios,Microids Indie,NA
Red Orchestra: Ostfront 41-45,2006-03-14,2.49,81,"500,000 .. 1,000,000",0,0,Tripwire Interactive,Tripwire Interactive,NA
Toribash,2006-03-01,0,NA,"2,000,000 .. 5,000,000",0,0,Nabi Studios,"Nicalis, Inc.",NA
Poker Superstars II,2006-03-01,9.99,NA,"0 .. 20,000",0,0,Funkitron,Funkitron,NA
Tycoon City: New York,2006-02-21,9.99,67,"20,000 .. 50,000",0,0,NA,Retroism,NA
STAR WARS Empire at War - Gold Pack,2006-02-16,19.99,NA,"1,000,000 .. 2,000,000",141,47,Petroglyph,"LucasArts, Lucasfilm, Disney",NA
Dangerous Waters,2006-02-07,14.99,82,"50,000 .. 100,000",0,0,Sonalysts,Strategy First,NA
Space Empires IV Deluxe,2006-02-07,9.99,79,"50,000 .. 100,000",0,0,Malfador Machinations,Strategy First,NA
Hearts of Iron 2 Complete,2006-01-06,14.99,83,"100,000 .. 200,000",0,0,Paradox Development Studio,Paradox Interactive,NA
"Warhammer 40,000: Dawn of War - Game of the Year Edition",2006-01-01,12.99,86,"1,000,000 .. 2,000,000",0,0,Relic Entertainment,SEGA,NA
"Warhammer 40,000: Dawn of War – Winter Assault",2006-01-01,12.99,NA,"500,000 .. 1,000,000",0,0,Relic Entertainment,SEGA,NA
Mystery Case Files: Madame Fate,2007-12-14,6.99,NA,"0 .. 20,000",0,0,Big Fish Games,Big Fish Games,NA
Amazing Adventures The Lost Tomb,2007-12-13,4.99,NA,"20,000 .. 50,000",0,0,SpinTop Games,"PopCap Games, Inc.",NA
18 Wheels of Steel: American Long Haul,2007-12-03,9.99,NA,"50,000 .. 100,000",0,0,SCS Software,"ValuSoft, Play Hard Games",NA
Season Match,2007-11-28,3.99,NA,"0 .. 20,000",0,0,URSE Games,Buka Entertainment,NA
Pinball,2007-11-21,4.99,NA,"0 .. 20,000",0,0,baKno Games,baKno Games,NA
Shadowgrounds Survivor,2007-11-14,9.99,79,"500,000 .. 1,000,000",0,0,Frozenbyte,Frozenbyte,NA
Kane and Lynch: Dead Men,2007-11-13,0.97,67,"500,000 .. 1,000,000",0,0,IO Interactive,Square Enix,NA
Call of Duty 4: Modern Warfare,2007-11-12,19.99,92,"1,000,000 .. 2,000,000",0,0,Infinity Ward,Activision,NA
Sam & Max 201: Ice Station Santa,2007-11-09,19.99,82,"20,000 .. 50,000",0,0,Telltale Games,Telltale Games,NA
Call of Juarez,2007-11-08,9.99,72,"100,000 .. 200,000",0,0,Techland,Techland Publishing,NA
Alpha Prime,2007-11-07,4.99,59,"200,000 .. 500,000",0,0,Black Element,Bohemia Interactive,NA
Sam & Max: Season One,2007-11-02,19.99,NA,"0 .. 20,000",0,0,Telltale Games,Telltale Games,NA
Painkiller Overdose,2007-10-30,4.99,65,"200,000 .. 500,000",0,0,Mindware Studios,THQ Nordic,NA
Disney•Pixar Cars Mater-National Championship,2007-10-29,19.99,NA,"0 .. 20,000",0,0,Rainbow Studios,"THQ, Disney",NA
Culpa Innata,2007-10-23,9.99,66,"20,000 .. 50,000",0,0,Momentum Digital Media Technologies,Strategy First,NA
Hard to Be a God,2007-10-19,7.99,55,"0 .. 20,000",0,0,Burut CT,Akella,NA
Mystery P.I. - The Lottery Ticket,2007-10-16,4.99,NA,"20,000 .. 50,000",0,0,SpinTop Games,"PopCap Games, Inc.",NA
RACE 07,2007-10-15,3.99,83,"1,000,000 .. 2,000,000",0,0,SimBin,SimBin,NA
Wildlife Park 2 - Horses,2007-10-12,3.99,NA,"0 .. 20,000",0,0,b-alive gmbh,b-alive gmbh,NA
Team Fortress 2,2007-10-10,0,92,"10,000,000 .. 20,000,000",1393,441,Valve,Valve,Yes
Portal,2007-10-10,9.99,90,"200,000 .. 500,000",300,395,Valve,Valve,NA
PuzzleQuest: Challenge of the Warlords,2007-10-10,9.99,84,"100,000 .. 200,000",0,0,Infinite Interactive,"D3Publisher of America, Inc.",NA
Half-Life 2: Episode Two,2007-10-10,7.99,90,"50,000 .. 100,000",92,30,Valve,Valve,NA
Thrillville: Off the Rails,2007-10-09,9.99,70,"20,000 .. 50,000",0,0,Frontier,LucasArts,NA
Loki,2007-10-02,9.99,61,"20,000 .. 50,000",0,0,Cyanide Studios,Disney,NA
Nancy Drew: Legend of the Crystal Skull,2007-10-01,6.99,79,"0 .. 20,000",0,0,HeR Interactive,HeR Interactive,NA
Company of Heroes: Opposing Fronts,2007-09-24,19.99,87,"20,000 .. 50,000",0,0,Relic Entertainment,SEGA,NA
Ducati World Championship,2007-09-21,4.99,35,"20,000 .. 50,000",0,0,Artematica Entertainment,Strategy First,NA
eXperience 112,2007-09-17,9.99,NA,"20,000 .. 50,000",0,0,Lexis Numerique,Microids,NA
Peggle Extreme,2007-09-11,0,NA,"200,000 .. 500,000",0,0,"PopCap Games, Inc.","PopCap Games, Inc.",NA
Depths of Peril,2007-09-05,9.99,79,"50,000 .. 100,000",0,0,Soldak Entertainment,Soldak Entertainment,NA
ShellBlast: Legacy Edition,2007-09-03,3.99,NA,"0 .. 20,000",0,0,Vertigo Gaming Inc.,Vertigo Gaming Inc.,NA
LEGIE,2007-09-03,1.99,NA,"0 .. 20,000",0,0,Spytihněv,Spytihněv,NA
Hunting Unlimited 2008,2007-09-01,9.99,NA,"20,000 .. 50,000",0,0,SCS Software,"ValuSoft, Retroism",NA
Wildlife Park 2 - Marine World,2007-08-31,3.99,NA,"0 .. 20,000",0,0,b-alive gmbh,b-alive gmbh,NA
Safecracker: The Ultimate Puzzle Adventure,2007-08-29,4.99,69,"50,000 .. 100,000",0,0,Kheops Studio,HandyGames,NA
Medieval II: Total War Kingdoms,2007-08-28,6.24,85,"200,000 .. 500,000",0,0,"The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",NA
"7,62 High Calibre",2007-08-24,4.99,NA,"50,000 .. 100,000",0,0,Apeiron,1C Entertainment,NA
BioShock,2007-08-21,19.99,96,"5,000,000 .. 10,000,000",0,0,"2K Boston, 2K Australia",2K,NA
A.I.M.2 Clan Wars,2007-08-18,2.99,NA,"20,000 .. 50,000",0,0,SkyRiver Studios,1C Entertainment,NA
Freight Tycoon Inc.,2007-08-15,4.99,NA,"20,000 .. 50,000",0,0,Nikita,1C Entertainment,NA
Mahjongg Investigations: Under Suspicion,2007-08-08,9.99,NA,"20,000 .. 50,000",0,0,Zemnott,"ValuSoft, Retroism",NA
"Warhammer 40,000: Dawn of War – Winter Assault",2007-08-07,12.99,NA,"500,000 .. 1,000,000",0,0,Relic Entertainment,SEGA,NA
Genesis Rising,2007-08-06,4.99,57,"20,000 .. 50,000",0,0,Metamorf,THQ Nordic,NA
QUAKE,2007-08-03,4.99,94,"500,000 .. 1,000,000",26,8,id Software,id Software,NA
