"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Players","Playtime (Median)"
"55","Farming Simulator 19","Nov 19, 2018","$24.99","N/A (N/A/73%)","500,000 .. 1,000,000","26.83%","15:53 (21:39)"
"56","Rise of the Tomb Raider","Feb 9, 2016","$8.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","4.4%","02:30 (00:23)"
"57","Slay the Spire","Jan 23, 2019","$18.74","N/A (N/A/89%)","1,000,000 .. 2,000,000","5.21%","09:08 (13:56)"
"58","Oxygen Not Included","Jul 30, 2019","$16.74","N/A (N/A)","1,000,000 .. 2,000,000","7.41%","11:00 (16:31)"
"59","Assassin's Creed Odyssey","Oct 5, 2018","$59.99","N/A (N/A)","1,000,000 .. 2,000,000","11.86%","44:07 (99:15)"
"60","Warhammer: Vermintide 2","Mar 8, 2018","$7.49","N/A (N/A/82%)","5,000,000 .. 10,000,000","7.62%","02:02 (02:09)"
"61","Total War: ROME II - Emperor Edition","Sep 2, 2013","$14.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","5.08%","07:06 (02:54)"
"62","FINAL FANTASY XIV Online","Feb 18, 2014","$19.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","10.71%","20:36 (20:36)"
"63","RimWorld","Oct 17, 2018","$34.99","N/A (N/A/87%)","1,000,000 .. 2,000,000","12.12%","07:49 (15:19)"
"64","American Truck Simulator","Feb 2, 2016","$19.99","N/A (N/A/76%)","1,000,000 .. 2,000,000","10.48%","05:38 (04:44)"
"65","Easy eSports","Sep 10, 2015","Free","N/A (N/A)","500,000 .. 1,000,000","6.04%","03:16 (05:53)"
"66","GRID 2","","N/A","N/A (N/A/80%)","10,000,000 .. 20,000,000","1.69%","05:08 (06:02)"
"67","Path of Exile","Oct 23, 2013","Free","N/A (N/A/86%)","20,000,000 .. 50,000,000","2.4%","04:59 (07:45)"
"68","Brawlhalla","Oct 17, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","3.99%","01:39 (00:54)"
"69","Soundpad","Sep 30, 2017","$4.99","N/A (N/A)","200,000 .. 500,000","19.05%","07:45 (09:05)"
"70","NBA 2K20","Sep 5, 2019","$29.99","N/A (N/A/74%)","200,000 .. 500,000","50%","32:58 (30:36)"
"71","Realm Royale","Jun 5, 2018","Free","N/A (N/A)","2,000,000 .. 5,000,000","1.13%","07:33 (07:09)"
"72","Raft","May 23, 2018","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","3.41%","05:09 (02:30)"
"73","X-Plane 11","Mar 30, 2017","$59.99","N/A (N/A)","200,000 .. 500,000","30%","08:54 (08:34)"
"74","The Elder Scrolls V: Skyrim Special Edition","Oct 27, 2016","$39.99","N/A (N/A/74%)","2,000,000 .. 5,000,000","4.21%","05:38 (08:00)"
"75","DiRT Rally 2.0","Feb 25, 2019","$17.99","N/A (N/A/84%)","200,000 .. 500,000","55.56%","04:02 (06:04)"
"76","DARK SOULS: Prepare To Die Edition","Aug 24, 2012","N/A","N/A (N/A/85%)","2,000,000 .. 5,000,000","0.98%","43:04 (14:21)"
"77","Factorio","Feb 25, 2016","$30","N/A (N/A)","1,000,000 .. 2,000,000","11.43%","13:32 (20:36)"
"78","Shoppe Keep 2 - Online co-op open world first person resource management RPG","Apr 25, 2019","$6.69","N/A (N/A)","50,000 .. 100,000","20%","41:55 (13:58)"
"79","NBA 2K19","Sep 6, 2018","$59.99","N/A (N/A/76%)","500,000 .. 1,000,000","23.53%","41:12 (09:14)"
"80","Hurtworld","Dec 3, 2015","$24.99","N/A (N/A)","500,000 .. 1,000,000","5.66%","18:29 (18:25)"
"81","HITMAN 2","Nov 13, 2018","$99.99","N/A (N/A/82%)","5,000,000 .. 10,000,000","1.41%","04:47 (05:41)"
"82","The Forest","Apr 30, 2018","$19.99","N/A (N/A/83%)","5,000,000 .. 10,000,000","4.55%","04:17 (06:22)"
"83","Heroes & Generals","Oct 18, 2016","Free","N/A (N/A)","10,000,000 .. 20,000,000","1.98%","10:52 (07:32)"
"84","Business Tour - Board Game with Online Multiplayer","Jul 27, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","2.78%","03:15 (04:17)"
"85","NieR:Automata","Mar 17, 2017","$39.99","N/A (N/A/84%)","1,000,000 .. 2,000,000","7.14%","73:36 (98:05)"
"86","Holy Potatoes! A Weapon Shop?!","Jul 13, 2015","$2.99","N/A (N/A/69%)","200,000 .. 500,000","10%","33:17 (11:05)"
"87","Stellaris","May 9, 2016","$39.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","6.14%","04:01 (05:33)"
"88","My Summer Car","Oct 24, 2016","$14.99","N/A (N/A)","200,000 .. 500,000","13.33%","16:24 (10:56)"
"89","Shakes and Fidget Remastered","Nov 22, 2018","Free","N/A (N/A)","200,000 .. 500,000","12.5%","32:22 (10:47)"
"90","Deceit","Mar 3, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","2.29%","01:22 (01:30)"
"91","eFootball PES 2020","Sep 10, 2019","$29.99","N/A (N/A)","50,000 .. 100,000","50%","06:18 (08:56)"
"92","Dying Light","Jan 26, 2015","$39.99","N/A (N/A/87%)","2,000,000 .. 5,000,000","3.41%","06:48 (09:55)"
"93","This War of Mine","Nov 14, 2014","$19.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","4.41%","02:32 (04:43)"
"94","Stonehearth","Jul 25, 2018","$19.99","N/A (N/A)","200,000 .. 500,000","10%","28:53 (09:37)"
"95","Doki Doki Literature Club!","Oct 6, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","1.11%","14:16 (09:30)"
"96","Cuisine Royale","Jun 15, 2018","Free","N/A (N/A)","2,000,000 .. 5,000,000","1.63%","05:13 (06:48)"
"97","Far Cry Primal","Feb 29, 2016","$29.99","N/A (N/A/74%)","500,000 .. 1,000,000","12.12%","07:35 (09:52)"
"98","Motorsport Manager","Nov 9, 2016","$34.99","N/A (N/A/81%)","200,000 .. 500,000","5%","26:38 (08:52)"
