"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"30","Hard Truck Apocalypse / Ex Machina","Dec 8, 2005","$7.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Targem Games","Buka Entertainment"
"22","Operation: Matriarchy","Nov 20, 2005","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Madia Entertainment","Buka Entertainment"
"9","Star Wars: Battlefront 2 (Classic, 2005)","Nov 1, 2005","$9.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","01:48 (00:36)","Pandemic Studios","Lucasfilm, LucasArts, Disney"
"33","Half-Life 2: Lost Coast","Oct 27, 2005","Free","N/A (N/A)","10,000,000 .. 20,000,000","00:09 (00:06)","Valve","Valve"
"1","Sid Meier's Civilization IV","Oct 25, 2005","$19.99","N/A (N/A/94%)","1,000,000 .. 2,000,000","00:00 (00:00)","Firaxis Games","2K"
"31","UFO: Aftershock","Oct 21, 2005","$3.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","ALTAR Interactive","1C Entertainment"
"24","Disney's Chicken Little","Oct 20, 2005","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Avalanche Software","Disney"
"12","Nancy Drew: Last Train to Blue Moon Canyon","Oct 18, 2005","$6.99","N/A (N/A/77%)","20,000 .. 50,000","00:00 (00:00)","HeR Interactive","HeR Interactive"
"20","Shattered Union","Oct 17, 2005","$4.99","N/A (N/A/67%)","20,000 .. 50,000","00:00 (00:00)","PopTop","2K"
"17","Rag Doll Kung Fu","Oct 12, 2005","$9.99","N/A (N/A/69%)","20,000 .. 50,000","00:00 (00:00)","Mark Healey","Mark Healey"
"8","Crazy Machines","Oct 1, 2005","$9.99","N/A (N/A/78%)","50,000 .. 100,000","00:00 (00:00)","Fakt Software","Viva Media"
"11","Crazy Machines 1.5","Oct 1, 2005","$9.99","N/A (N/A/78%)","0 .. 20,000","00:00 (00:00)","Fakt Software","Viva Media"
"21","Cold War","Sep 27, 2005","$4.99","N/A (N/A/64%)","20,000 .. 50,000","00:00 (00:00)","Mindware Studios","THQ Nordic"
"18","Bone: Out From Boneville","Sep 15, 2005","N/A","N/A (N/A/68%)","50,000 .. 100,000","00:00 (00:00)","Telltale Games","Telltale Games"
"27","rFactor","Aug 31, 2005","$24.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Image Space Incorporated","Image Space Incorporated"
"7","Dungeon Siege II","Aug 16, 2005","$6.99","N/A (N/A/80%)","500,000 .. 1,000,000","00:00 (00:00)","Gas Powered Games","Square Enix"
"15","Advent Rising","Aug 9, 2005","$9.99","N/A (N/A/70%)","50,000 .. 100,000","00:00 (00:00)","GlyphX Games","Majesco Entertainment"
"19","BloodRayne 2","Aug 2, 2005","$9.99","N/A (N/A/67%)","50,000 .. 100,000","00:00 (00:00)","Terminal Reality","Majesco Entertainment"
"6","Nancy Drew: Secret of the Old Clock","Jul 26, 2005","$6.99","N/A (N/A/80%)","20,000 .. 50,000","00:00 (00:00)","HeR Interactive","HeR Interactive"
"5","Myst V: End of Ages","Jul 19, 2005","$9.99","N/A (N/A/80%)","50,000 .. 100,000","00:00 (00:00)","Cyan Worlds","Cyan Worlds"
"4","Darwinia","Jul 14, 2005","$9.99","N/A (N/A/84%)","500,000 .. 1,000,000","00:00 (00:00)","Introversion Software","Introversion Software"
"14","FlatOut","Jul 12, 2005","$7.49","N/A (N/A/72%)","200,000 .. 500,000","00:00 (00:00)","Bugbear Entertainment","Strategy First"
"2","Sid Meier's Pirates!","Jul 11, 2005","$9.99","N/A (N/A/88%)","500,000 .. 1,000,000","00:40 (00:13)","Firaxis Games","2K"
"32","Midnight Outlaw: 6 Hours to SunUp","Jul 2, 2005","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Merscom, Babylon","ValuSoft, Retroism"
"23","World War I","Jun 17, 2005","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Dark Fox","1C Entertainment"
"25","Rising Kingdoms","May 27, 2005","$2.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Haemimont Games","Haemimont Games"
"16","Imperial Glory","May 15, 2005","$4.99","N/A (N/A/69%)","200,000 .. 500,000","00:00 (00:00)","Pyro Studios","Kalypso Media Digital"
"3","Psychonauts","Apr 19, 2005","$9.99","N/A (N/A/87%)","2,000,000 .. 5,000,000","00:00 (00:00)","Double Fine Productions","Double Fine Productions"
"26","Geneforge 3","Apr 1, 2005","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Spiderweb Software","Spiderweb Software"
"28","CT Special Forces: Fire for Effect","Mar 24, 2005","$2.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Asobo Studio, Hip Games","Funbox Media Ltd"
"29","Massive Assault: Phantom Renaissance","Mar 3, 2005","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wargaming.net","Wargaming.net"
"10","STAR WARS Republic Commando","Mar 1, 2005","$9.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","00:01 (00:00)","LucasArts","LucasArts, Lucasfilm, Disney"
"13","Project: Snowblind","Feb 22, 2005","$0.89","N/A (N/A/76%)","100,000 .. 200,000","00:00 (00:00)","Crystal Dynamics","Square Enix"
