"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"20","Konung 2","Nov 30, 2004","$2.99","N/A (N/A/35%)","20,000 .. 50,000","00:00 (00:00)","1C Entertainment","1C Entertainment"
"29","planetarian ~the reverie of a little planet~","Nov 29, 2004","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","VisualArts/Key","Sekai Project"
"1","Half-Life 2","Nov 16, 2004","$9.99","N/A (N/A/96%)","10,000,000 .. 20,000,000","01:52 (02:23)","Valve","Valve"
"27","Kult: Heretic Kingdoms","Nov 11, 2004","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Games Farm","Games Farm"
"10","Nexus - The Jupiter Incident","Nov 5, 2004","$9.99","N/A (N/A/77%)","50,000 .. 100,000","00:00 (00:00)","Mithis Games, THQ Nordic","HandyGames"
"4","Counter-Strike: Source","Nov 1, 2004","$9.99","N/A (N/A/88%)","10,000,000 .. 20,000,000","02:30 (03:31)","Valve","Valve"
"21","Half-Life 2: Deathmatch","Nov 1, 2004","$4.99","N/A (N/A)","5,000,000 .. 10,000,000","00:14 (00:04)","Valve","Valve"
"6","Nancy Drew: Curse of Blackmoor Manor","Oct 25, 2004","$6.99","N/A (N/A/81%)","20,000 .. 50,000","00:00 (00:00)","HeR Interactive","HeR Interactive"
"23","I Misteri di Maggia","Sep 27, 2004","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Stelex Software","Stelex Software"
"3","Rome: Total War - Collection","Sep 22, 2004","$4.41","N/A (N/A/92%)","1,000,000 .. 2,000,000","00:00 (00:00)","CREATIVE ASSEMBLY","SEGA"
"7","Full Spectrum Warrior","Sep 21, 2004","$9.99","N/A (N/A/80%)","100,000 .. 200,000","00:00 (00:00)","Pandemic Studios","THQ Nordic"
"15","Shadow Ops: Red Mercury","Sep 17, 2004","$6.99","N/A (N/A/61%)","50,000 .. 100,000","00:00 (00:00)","Zombie Studios","Retroism"
"28","Chris Sawyer's Locomotion","Sep 10, 2004","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Chris Sawyer","Atari"
"13","Dark Fall 2: Lights Out","Aug 24, 2004","$4.99","N/A (N/A/66%)","20,000 .. 50,000","00:00 (00:00)","Darkling Room","THQ Nordic"
"17","Zoo Empire","Aug 1, 2004","$6.99","N/A (N/A/59%)","0 .. 20,000","00:00 (00:00)","Enlight Software Limited","Retroism, Enlight Software Limited"
"18","Marine Park Empire","Aug 1, 2004","$6.99","N/A (N/A/58%)","0 .. 20,000","00:00 (00:00)","Enlight Software Limited","Retroism, Enlight Software Limited"
"25","Mashed","Jun 25, 2004","$4.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Supersonic Software","Strategy First"
"19","Marine Sharpshooter II: Jungle Warfare","Jun 22, 2004","$2.99","N/A (N/A/52%)","100,000 .. 200,000","00:00 (00:00)","Jarhead Games","Funbox Media Ltd"
"5","Thief: Deadly Shadows","Jun 11, 2004","$0.98","N/A (N/A/85%)","500,000 .. 1,000,000","00:00 (00:00)","Ion Storm","Square Enix"
"22","Platypus","Jun 2, 2004","$6.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Idigicon","KISS ltd"
"24","Half-Life: Source","Jun 1, 2004","$9.99","N/A (N/A)","2,000,000 .. 5,000,000","00:16 (00:05)","Valve","Valve"
"9","Perimeter","May 21, 2004","$3.99","N/A (N/A/77%)","20,000 .. 50,000","00:00 (00:00)","K-D Lab","1C Entertainment"
"11","Port Royale 2","Apr 30, 2004","$4.99","N/A (N/A/75%)","50,000 .. 100,000","00:00 (00:00)","Ascaron Entertainment ltd.","Strategy First"
"12","Beyond Divinity","Apr 27, 2004","$5.99","N/A (N/A/73%)","500,000 .. 1,000,000","00:00 (00:00)","Larian Studios","Larian Studios"
"2","Unreal Tournament 2004: Editor's Choice Edition","Mar 17, 2004","$14.99","N/A (N/A/93%)","500,000 .. 1,000,000","00:00 (00:00)","Epic Games, Inc.","Epic Games, Inc."
"26","The I of the Dragon","Mar 10, 2004","$6.99","N/A (N/A)","500,000 .. 1,000,000","02:01 (00:40)","Primal","TopWare Interactive"
"8","Deus Ex: Invisible War","Mar 5, 2004","$6.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Ion Storm","Square Enix"
"14","Counter-Strike: Condition Zero","Mar 1, 2004","$9.99","N/A (N/A/65%)","10,000,000 .. 20,000,000","46:36 (46:36)","Valve","Valve"
"16","Wars and Warriors: Joan of Arc","Feb 7, 2004","$6.99","N/A (N/A/60%)","0 .. 20,000","00:00 (00:00)","Enlight Software Limited","Retroism, Enlight Software Limited"
