"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"24","SPORE","Dec 19, 2008","$19.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","07:58 (05:19)","Maxis™","Electronic Arts"
"12","Mass Effect","Dec 19, 2008","$19.99","N/A (N/A/89%)","1,000,000 .. 2,000,000","00:00 (00:00)","BioWare","Electronic Arts"
"130","SPORE Creepy & Cute Parts Pack","Dec 19, 2008","$19.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Maxis™","Electronic Arts"
"89","Need for Speed Undercover","Dec 19, 2008","$9.99","N/A (N/A/65%)","200,000 .. 500,000","00:00 (00:00)","EA Black Box","Electronic Arts"
"38","Strong Bad's Cool Game for Attractive People: Season 1","Dec 18, 2008","$19.99","N/A (N/A/82%)","100,000 .. 200,000","00:00 (00:00)","Telltale Games","Telltale Games"
"184","Penguins Arena: Sedna's World","Dec 18, 2008","$5.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Frogames","Frogames"
"52","Europa Universalis: Rome - Gold Edition","Dec 18, 2008","$9.99","N/A (N/A/79%)","50,000 .. 100,000","00:00 (00:00)","Paradox Development Studio","Paradox Interactive"
"139","MiniOne Racing","Dec 16, 2008","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Frogames","Frogames"
"35","Aquaria","Dec 15, 2008","$9.99","N/A (N/A/82%)","200,000 .. 500,000","00:00 (00:00)","Bit Blot, LLC","Bit Blot, LLC"
"112","Luxor: Quest for the Afterlife","Dec 15, 2008","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MumboJumbo","MumboJumbo"
"135","Paws and Claws: Pampered Pets","Dec 15, 2008","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","dtp – young entertainment Gmbh & Co. KG","ValuSoft, Retroism"
"53","Crazy Machines","Dec 12, 2008","$9.99","N/A (N/A/78%)","50,000 .. 100,000","00:00 (00:00)","Fakt Software","Viva Media"
"56","Crazy Machines 1.5","Dec 12, 2008","$9.99","N/A (N/A/78%)","0 .. 20,000","00:00 (00:00)","Fakt Software","Viva Media"
"36","Prince of Persia","Dec 10, 2008","$9.99","N/A (N/A/82%)","200,000 .. 500,000","00:00 (00:00)","Ubisoft Montreal","Ubisoft"
"41","Defense Grid: The Awakening","Dec 8, 2008","$9.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Hidden Path Entertainment","Hidden Path Entertainment"
"100","Dimensity","Dec 8, 2008","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dagger Games","Strategy First"
"94","Iron Grip: Warlord","Dec 5, 2008","N/A","N/A (N/A/59%)","100,000 .. 200,000","00:00 (00:00)","ISOTX","ISOTX"
