"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"347","Sacred 2 Gold","Dec 21, 2012","$14.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Ascaron","Deep Silver"
"194","Hero of the Kingdom","Dec 20, 2012","$0.95","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Lonely Troops","Lonely Troops"
"267","BIT.TRIP VOID","Dec 19, 2012","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gaijin Games","Gaijin Games"
"262","Silo 2","Dec 19, 2012","$99.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nevercenter Ltd. Co.","Nevercenter Ltd. Co."
"395","Choice of Kung Fu","Dec 19, 2012","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"195","Dragon Nest","Dec 18, 2012","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Eyedentity Games Inc.","Eyedentity Games Inc."
"197","NiGHTS Into Dreams","Dec 17, 2012","$7.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","SEGA","SEGA"
"349","EverQuest","Dec 13, 2012","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Daybreak Game Company","Daybreak Game Company"
"57","Waking Mars","Dec 13, 2012","$9.99","N/A (N/A/79%)","200,000 .. 500,000","00:00 (00:00)","Tiger Style","Tiger Style"
"306","Iron Sky: Invasion","Dec 13, 2012","$19.99","N/A (N/A)","200,000 .. 500,000","03:02 (01:00)","Reality Pump","Topware Interactive"
"393","Party of Sin","Dec 13, 2012","$5.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Crankshaft Games","Crankshaft Games"
"121","A New Beginning - Final Cut","Dec 11, 2012","$9.99","N/A (N/A/72%)","200,000 .. 500,000","00:00 (00:00)","Daedalic Entertainment","Daedalic Entertainment"
"84","Haunted","Dec 11, 2012","$14.99","N/A (N/A/76%)","20,000 .. 50,000","00:00 (00:00)","dtp Entertainment","Viva Media"
"271","ACDSee 15","Dec 11, 2012","$49.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ACD Systems International Inc.","ACD Systems International Inc."
"280","RPG Maker VX Ace","Dec 10, 2012","$69.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","KADOKAWA","Degica"
"216","Test Drive: Ferrari Racing Legends","Dec 10, 2012","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Slightly Mad Studios","Evolved Games"
"334","Dead Pixels","Dec 7, 2012","$2.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","CSR-Studios","CSR-Studios"
"281","Mabinogi","Dec 6, 2012","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","NEXON Korea Corp.","Nexon America Inc."
"130","Legacy of Kain: Defiance","Dec 6, 2012","$0.97","N/A (N/A/70%)","200,000 .. 500,000","00:00 (00:00)","Crystal Dynamics","Square Enix"
"292","Legacy of Kain: Soul Reaver","Dec 6, 2012","$0.97","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Crystal Dynamics","Square Enix"
