"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"38","Darkstar One","Aug 14, 2006","$9.99","N/A (N/A/71%)","100,000 .. 200,000","00:00 (00:00)","Ascaron Entertainment ltd.","Strategy First"
"45","Safecracker: The Ultimate Puzzle Adventure","Aug 2, 2006","$4.99","N/A (N/A/69%)","50,000 .. 100,000","00:00 (00:00)","Kheops Studio","HandyGames"
"24","FlatOut 2","Aug 1, 2006","$9.99","N/A (N/A/76%)","500,000 .. 1,000,000","00:08 (00:07)","Bugbear Entertainment","Strategy First"
"61","Iron Warriors: T - 72 Tank Command","Jul 26, 2006","$4.99","N/A (N/A/56%)","50,000 .. 100,000","00:00 (00:00)","Strategy First","Strategy First"
"8","Civilization IV: Warlords","Jul 24, 2006","$4.99","N/A (N/A/84%)","1,000,000 .. 2,000,000","00:00 (00:00)","Firaxis Games","2K"
"52","CivCity: Rome","Jul 24, 2006","$9.99","N/A (N/A/67%)","50,000 .. 100,000","00:00 (00:00)","FireFly Studios, Firaxis Games","2K"
"77","Hidden Expedition: Titanic","Jul 19, 2006","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Big Fish Games","Big Fish Games"
"87","BorderZone","Jul 19, 2006","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Saturn-plus, Orion","1C Entertainment"
"89","Tacview","Jul 18, 2006","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Raia Software Inc.","Raia Software Inc."
"26","The Ship: Murder Party","Jul 11, 2006","$9.99","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:00 (00:00)","Outerlight Ltd.","Blazing Griffin Ltd."
"41","Nancy Drew: Danger by Design","Jul 11, 2006","$6.99","N/A (N/A/70%)","20,000 .. 50,000","00:00 (00:00)","HeR Interactive","HeR Interactive"
"7","Disciples II: Gallean's Return","Jul 6, 2006","$6.99","N/A (N/A/84%)","100,000 .. 200,000","00:00 (00:00)","Strategy First","Strategy First"
"18","Disciples II: Rise of the Elves","Jul 6, 2006","$6.99","N/A (N/A/80%)","100,000 .. 200,000","00:00 (00:00)","Strategy First","Strategy First"
"36","Disney•Pixar Cars","Jul 6, 2006","$19.99","N/A (N/A/73%)","20,000 .. 50,000","00:00 (00:00)","Beenox","THQ, Disney"
"85","Jagged Alliance 2 Gold","Jul 6, 2006","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Strategy First","Strategy First"
