"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"267","RaidersSphere4th","Dec 31, 2013","$19.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Rectangle","Sekai Project"
"263","Choice of the Deathless","Dec 20, 2013","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Choice of Games","Choice of Games"
"362","Woodcutter Simulator 2013","Dec 19, 2013","$7.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","United Independent Entertainment GmbH","United Independent Entertainment GmbH"
"381","Airport Simulator 2014","Dec 19, 2013","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","United Independent Entertainment GmbH","United Independent Entertainment GmbH"
"333","The Walking Dead: Season Two","Dec 17, 2013","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Telltale Games","Skybound Games"
"468","Ballpoint Universe - Infinite","Dec 17, 2013","$3.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Arachnid Games","Arachnid Games"
"235","Dementium II HD","Dec 17, 2013","$1.99","N/A (N/A/37%)","50,000 .. 100,000","00:00 (00:00)","Memetic Games","Missing Link Games"
"533","Just Cause 2: Multiplayer Mod","Dec 16, 2013","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Avalanche Studios","Square Enix"
"275","Blockland","Dec 16, 2013","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Eric Hartman, Ben Garney, Anthony Rotondo","Step 1 Games LLC"
"347","RaySupreme 3D","Dec 16, 2013","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BrainDistrict","BrainDistrict"
"274","7 Days to Die","Dec 13, 2013","$24.99","N/A (N/A)","2,000,000 .. 5,000,000","13:52 (10:43)","The Fun Pimps","The Fun Pimps Entertainment LLC"
"406","Viscera Cleanup Detail: Santa's Rampage","Dec 13, 2013","$2.49","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","RuneStorm","RuneStorm"
"81","Teslagrad","Dec 13, 2013","$9.99","N/A (N/A/77%)","200,000 .. 500,000","00:00 (00:00)","Rain Games","Rain Games"
"198","Violett Remastered","Dec 13, 2013","$9.99","N/A (N/A/61%)","200,000 .. 500,000","00:00 (00:00)","Forever Entertainment S. A.","Forever Entertainment S. A."
"435","RPG Maker XP","Dec 13, 2013","$24.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","KADOKAWA","Degica"
"155","Marc Eckō's Getting Up: Contents Under Pressure","Dec 13, 2013","$14.99","N/A (N/A/69%)","50,000 .. 100,000","00:00 (00:00)","The Collective, General Arcade","Devolver Digital"
"29","Stick it to The Man!","Dec 13, 2013","$7.99","N/A (N/A/83%)","20,000 .. 50,000","00:00 (00:00)","Zoink Games","Ripstone"
"536","Tales of Maj'Eyal","Dec 12, 2013","$6.99","N/A (N/A)","200,000 .. 500,000","04:19 (02:52)","Netcore Games","Netcore Games"
"58","FATE","Dec 12, 2013","$7.99","N/A (N/A/80%)","100,000 .. 200,000","00:00 (00:00)","WildTangent","WildTangent"
"280","Not The Robots","Dec 12, 2013","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","2DArray","tinyBuild"
